,event_id,mCharge,mTime,TrueEv,initZen,initAz,dZen,dAz,mFreePath,batch_id,first_pulse_index,last_pulse_index,azimuth,zenith
0,2028147085,0.9164634142222443,106.27868852459017,71.0,-2.8941036101979236,1.482011276878803,-0.01669814374728904,-0.00536686817287979,422.29587242502515,624,1742861,1742983,5.780517514831231,1.6225649412819705
1,2031179140,0.9565217388064965,220.82222222222222,12.0,0.01775163461797003,1.636311755544792,0.02917758280156346,-0.020427023074427907,622.8058136280432,624,32613749,32613794,2.765108868946135,2.7881381249822024
2,2030575936,0.9556122464793069,217.79166666666666,19.0,-0.8641170615576786,1.9666972780281582,0.03599703286896586,0.023030826959583212,633.8038900937077,624,26711032,26711080,2.706114080239243,2.724041561921283
3,2028527930,1.076204820210675,151.14634146341464,38.0,-0.24317939744643602,1.062600310745838,0.029708347227104664,-0.0004704888559027937,458.81657499909744,624,6075896,6075978,4.280267372465224,1.7815588026251608
4,2031129013,0.9934615479065821,185.125,26.0,-2.704366443215351,1.5009275755118994,-0.02146286847698478,0.011000632916587434,526.6823256302132,624,32154961,32155025,4.633283070631739,2.0710443802447864
5,2028783578,0.8909574423698668,228.7391304347826,4.0,0.6848901062440158,2.210606382921464,0.03377639704479311,-0.02079426382360792,677.3178232654471,624,8650583,8650629,0.3767704902546689,1.851483371046713
6,2029988388,0.8756410273221823,158.88311688311688,33.0,-2.4720317691687796,2.0385098707307514,-0.0018673765462318627,-0.006397702510994511,483.2147724544251,624,20914316,20914393,2.8538354443984284,2.1764586673572754
7,2028142625,0.988095236084764,92.48,64.0,0.24810056130598437,2.8418871230676164,0.013547066406851086,-0.01691597173218211,493.55970996020324,624,1716163,1716288,3.042225262607679,2.01786098398692
8,2030776873,0.8749999977759461,165.07575757575756,25.0,-1.8296850624917766,1.5255441669288234,0.005710578696455412,0.014277612767486136,547.0517931950126,624,28498452,28498518,5.5076211556024885,0.6883684535651561
9,2027999498,0.9627358460763715,175.78846153846155,7.0,-1.7311524857418714,0.5602151068754915,-0.01263646855589334,0.04067556577041796,495.61663396567064,624,312052,312104,1.0410300441313631,1.590921451086338
10,2028320620,1.0006578921487457,150.38666666666666,36.0,-2.481999707745361,1.4908651403298772,0.006027942305891928,0.008655813928443109,538.736371104334,624,3540104,3540179,2.2776918249498066,0.537925870421307
11,2030482090,0.8866666590174039,190.4915254237288,15.0,3.058892572454518,2.1368330803212694,-0.050110608306628474,-0.02219334757837701,598.4386800143253,624,25796411,25796470,4.060489434106209,2.7072695834696248
12,2028819835,0.8581249997019768,141.53164556962025,21.0,-0.6466594567318161,1.3063395869342567,0.01991683755054816,0.011157044411718569,644.6942179039099,624,9138916,9138995,3.4373795889771985,0.6827076283816723
13,2029536361,1.0451492542651162,191.0151515151515,13.0,-1.5897461900427095,1.1306851188653293,-0.011103274500212834,-0.0019912647583361304,669.4819465508953,624,16354478,16354544,3.8065715886544584,0.6820906147119724
14,2028686622,1.084420297672783,164.91176470588235,33.0,-2.704366443215351,1.5634376094516707,-0.028244617545690572,-0.01483878345984927,467.6218943714978,624,7679252,7679320,2.9516131247284276,1.570855235741743
